County,State,Outbreak Date,Flock Type,Species Name,Birds Affected,Flock Size
Daviess,Indiana,12/13/2022,Commercial Turkey Meat Bird,Turkey,"11,400",11400
Dutchess,New York,2/24/2022,WOAH Non-Poultry,Chukar,200,200
Meeker,Minnesota,5/21/2024,Commercial Table Egg Layer,Chicken,"1,368,800",1368800
Orange,Florida,1/24/2025,WOAH Non-Poultry,Chicken,1,1
Hennepin,Minnesota,9/1/2022,WOAH Non-Poultry,Chicken,10,10
Kingsbury,South Dakota,3/18/2022,Commercial Turkey Meat Bird,Turkey,"39,200",39200
Stanislaus,California,1/3/2025,Commercial Broiler Production,Chicken,"236,100",236100
Grant,Kansas,4/10/2024,WOAH Poultry,Chicken,"17,700",17700
Clayton,Georgia,1/9/2025,WOAH Non-Poultry,Multiple Poultry Species,10,10
Morgan,Colorado,11/29/2023,WOAH Non-Poultry,Chicken,60,60
Benton,Minnesota,4/12/2022,WOAH Non-Poultry,Poultry,130,130
Rockingham,Virginia,3/7/2023,WOAH Non-Poultry,Assorted Pet Birds,250,250
Jefferson Davis,Louisiana,12/18/2024,WOAH Non-Poultry,Chicken,30,30
Dubois,Indiana,2/24/2022,Commercial Turkey Meat Bird,Turkey,"36,000",36000
Lehigh,Pennsylvania,11/10/2022,Commercial Turkey Meat Bird,Turkey,"18,500",18500
Pierce,Washington,8/25/2022,WOAH Non-Poultry,Poultry,70,70
Wayne,North Carolina,4/6/2022,Commercial Broiler Production,Chicken,"65,600",65600
Park,Wyoming,4/6/2022,WOAH Non-Poultry,Chicken,100,100
Jackson,Arkansas,12/19/2024,WOAH Non-Poultry,Chicken,230,230
Barron,Wisconsin,12/13/2024,Commercial Turkey Breeder Hens,Turkey,"13,200",13200
Sanpete,Utah,9/27/2022,Commercial Turkey Meat Bird,Turkey,"127,200",127200
San Joaquin,California,12/13/2023,Commercial Duck Breeder,Duck,"6,000",6000
Cascade,Montana,4/7/2022,WOAH Poultry,Poultry,"22,000",22000
Whatcom,Washington,5/12/2022,WOAH Non-Poultry,Chicken,80,80
Sheridan,Nebraska,4/14/2023,WOAH Non-Poultry,Goose,10,10
Lamoure,North Dakota,4/2/2022,Commercial Turkey Meat Bird,Turkey,"27,400",27400
Le Sueur,Minnesota,10/27/2022,Commercial Turkey Meat Bird,Turkey,"20,100",20100
Sanpete,Utah,10/12/2022,Commercial Turkey Meat Bird,Turkey,"52,800",52800
Redwood,Minnesota,11/14/2023,Commercial Turkey Meat Bird,Turkey,"18,700",18700
Ada,Idaho,5/20/2022,WOAH Non-Poultry,Chicken,7,7
Kern,California,11/12/2024,Commercial Table Egg Layer,Chicken,"2,155,100",2155100
Cache,Utah,5/11/2022,WOAH Non-Poultry,Duck,20,20
Marion,Oregon,11/14/2023,WOAH Non-Poultry,Chicken,5,5
Spartanburg,South Carolina,12/31/2024,Commercial Upland Gamebird Producer,Pheasant,920,920
Kossuth,Iowa,11/8/2023,WOAH Poultry,Multiple Poultry Species,"8,200",8200
Hancock,Maine,1/27/2023,WOAH Non-Poultry,Chicken,40,40
Dodge,Minnesota,12/8/2022,Commercial Turkey Meat Bird,Turkey,"10,000",10000
Cleveland,Oklahoma,10/21/2022,WOAH Non-Poultry,Poultry,30,30
Chester,Pennsylvania,2/24/2023,WOAH Poultry,Multiple Poultry Species,"3,400",3400
Mercer,Ohio,1/16/2025,Commercial Table Egg Layer,Chicken,"1,432,000",1432000
Edmunds,South Dakota,11/15/2023,Commercial Turkey Breeder Replacement Hens,Turkey,"24,500",24500
Jackson,Indiana,1/28/2025,Commercial Table Egg Layer,Chicken,"2,633,900",2633900
Todd,Minnesota,9/22/2022,WOAH Non-Poultry,Chicken,50,50
Yellow Medicine,Minnesota,4/22/2022,Commercial Turkey Meat Bird,Turkey,"49,500",49500
Sanpete,Utah,10/7/2022,Commercial Turkey Meat Bird,Turkey,"26,700",26700
Alexandria City,Virginia,2/23/2023,Live Bird Market,Poultry,800,800
Palm Beach,Florida,1/7/2025,WOAH Non-Poultry,Chicken,4,4
Stearns,Minnesota,5/21/2024,Commercial Turkey Meat Bird,Turkey,"17,100",17100
Clark,South Dakota,9/20/2022,Commercial Turkey Meat Bird,Turkey,"23,900",23900
Orange,Florida,1/14/2025,Live Bird Market,Chicken,"1,300",1300
Kandiyohi,Minnesota,7/9/2024,Commercial Turkey Breeder Toms,Turkey,"4,200",4200
King,Washington,5/25/2022,WOAH Non-Poultry,Duck,20,20
Greene,Tennessee,1/16/2025,WOAH Non-Poultry,Chicken,30,30
Ocean,New Jersey,10/22/2022,WOAH Non-Poultry,Poultry,90,90
Charles Mix,South Dakota,4/1/2022,Commercial Turkey Meat Bird,Turkey,"81,500",81500
Orangeburg,South Carolina,1/22/2024,WOAH Non-Poultry,Chicken,40,40
Tompkins,New York,3/22/2023,WOAH Poultry,Pheasant,"6,500",6500
Morrison,Minnesota,4/12/2022,Commercial Table Egg Layer,Chicken,"216,200",216200
Hancock,Maine,2/6/2023,WOAH Non-Poultry,Chicken,30,30
Utah,Utah,4/15/2022,WOAH Non-Poultry,Chicken,7,7
Sacramento,California,11/2/2024,Commercial Turkey Meat Bird,Turkey,"48,300",48300
Glacier,Montana,10/10/2023,WOAH Poultry,Chicken,"77,100",77100
Hillsborough,Florida,10/28/2022,WOAH Non-Poultry,Chicken,40,40
Ottawa,Michigan,1/4/2025,Commercial Turkey Meat Bird,Turkey,"47,000",47000
Stearns,Minnesota,11/1/2022,Commercial Turkey Meat Bird,Turkey,"8,500",8500
Menominee,Michigan,4/13/2022,WOAH Poultry,Chicken,350,350
Meeker,Minnesota,4/14/2022,Commercial Turkey Meat Bird,Turkey,"73,200",73200
Ionia,Michigan,4/9/2024,Commercial Table Egg Layer,Chicken,"2,147,500",2147500
Fresno,California,8/22/2022,Commercial Broiler Breeder,Chicken,"33,900",33900
Knox,Maine,2/23/2022,WOAH Non-Poultry,Chicken,100,100
Johnston,North Carolina,4/2/2022,Commercial Turkey Meat Bird,Turkey,"18,900",18900
Beadle,South Dakota,11/25/2022,Commercial Turkey Meat Bird,Turkey,"50,700",50700
