County,State,Temp,Temp Anomaly (1901-2000 base period),Temp 1901-2000 Mean,Precipitation,Prec Anomaly (1901-2000 base period),Prec 1901-2000 Mean,Z Palmer Index,Z Anomaly (1901-2000 base period),Z 1901-2000 Mean
Greenville ,South Carolina,61.4,2.2,59.2,51.82,-4.09,55.91,-0.53,-0.6,0.07
Greenwood ,South Carolina,63.9,2.2,61.7,42.68,-4.41,47.09,-0.48,-0.55,0.07
Hampton ,South Carolina,66.1,1.9,64.2,57.55,10.36,47.19,0.56,0.52,0.03
Horry ,South Carolina,64.3,1.4,62.9,50.2,1.36,48.84,0,-0.07,0.07
Jasper ,South Carolina,67,2,65.1,55.48,7.14,48.34,0.3,0.27,0.03
Kershaw ,South Carolina,63.7,2.2,61.6,50.78,4.84,45.94,0.33,0.3,0.04
Lancaster ,South Carolina,62.2,1.9,60.3,53.85,8.23,45.62,0.63,0.59,0.03
Laurens ,South Carolina,62.8,1.7,61,44.62,-3.45,48.07,-0.31,-0.38,0.07
Lee ,South Carolina,64.6,2.4,62.2,45.31,-1.09,46.4,-0.32,-0.41,0.09
Lexington ,South Carolina,64.8,2.4,62.4,49.06,3.25,45.81,0.15,0.1,0.05
McCormick ,South Carolina,64.5,2.3,62.2,45.04,-1.79,46.83,-0.24,-0.32,0.09
Marion ,South Carolina,65,2.1,62.9,53.06,5.72,47.34,0.17,0.08,0.09
Marlboro ,South Carolina,64.2,2.4,61.8,48.68,2.74,45.94,0.02,0.05,-0.02
Newberry ,South Carolina,63.5,1.8,61.6,49.86,3.73,46.13,0.36,0.32,0.03
Oconee ,South Carolina,61.3,1.8,59.5,54.55,-6.56,61.11,-0.64,-0.64,0
Orangeburg ,South Carolina,65.4,1.8,63.6,49.05,2.27,46.78,0.04,-0.04,0.08
Pickens ,South Carolina,61.5,2.3,59.1,56.05,-3,59.05,-0.47,-0.49,0.02
Richland ,South Carolina,64.9,2,62.9,48.51,3.06,45.45,0.17,0.12,0.05
Saluda ,South Carolina,64.2,2.3,62,43.81,-2.36,46.17,-0.34,-0.39,0.05
Spartanburg ,South Carolina,62,2.2,59.8,52.64,1.19,51.45,-0.03,-0.11,0.09
Sumter ,South Carolina,65.3,2.4,63,41.16,-5.39,46.55,-0.78,-0.88,0.1
Union ,South Carolina,62.1,1.4,60.7,49.39,1.23,48.16,0.06,0.02,0.04
Williamsburg ,South Carolina,65,1.5,63.5,53.63,4.96,48.67,0.33,0.26,0.07
York ,South Carolina,61.2,1.3,59.9,48.01,1.04,46.97,0.11,0.06,0.05
Aurora ,South Dakota,48.8,3.1,45.7,23.82,2.36,21.46,0.68,0.53,0.15
Beadle ,South Dakota,47.9,3.5,44.5,21.34,1.03,20.31,0.66,0.35,0.31
Bennett ,South Dakota,49.9,3.9,46.1,15.76,-2.5,18.26,0.22,-0.15,0.37
Bon Homme ,South Dakota,50.7,3.4,47.3,25.47,1.36,24.11,0.38,0.17,0.21
Brookings ,South Dakota,46.3,3.5,42.8,27.78,4.67,23.11,0.77,0.61,0.16
Brown ,South Dakota,46.1,4.1,42.1,20.02,-0.11,20.13,0.28,-0.16,0.44
Brule ,South Dakota,49.4,3.3,46.1,23.73,3.56,20.17,1.01,0.87,0.15
Buffalo ,South Dakota,48.2,3,45.2,23.07,4.13,18.94,1.48,1.23,0.24
Butte ,South Dakota,48.6,4,44.6,14.1,-1.38,15.48,-0.61,-0.86,0.25
Campbell ,South Dakota,46,3.5,42.5,15.08,-2.07,17.15,-0.3,-0.52,0.22
Charles Mix ,South Dakota,50.6,3.2,47.4,23.13,0.65,22.48,0.47,0.3,0.18
Clark ,South Dakota,46.4,4.1,42.3,24.8,2.88,21.92,0.76,0.33,0.43
Clay ,South Dakota,50.8,3.8,47,27.1,1.6,25.5,0.25,-0.01,0.26
Codington ,South Dakota,45.5,4.2,41.3,26.07,3.12,22.95,0.44,0.16,0.28
Corson ,South Dakota,46.8,3.7,43.1,15.65,-1.21,16.86,-0.4,-0.58,0.19
Custer ,South Dakota,48.6,3.9,44.8,13.65,-4.17,17.82,-0.8,-1.3,0.5
Davison ,South Dakota,49.2,3,46.1,26.07,4.3,21.77,0.97,0.74,0.23
Day ,South Dakota,45.2,4,41.2,22.9,1.17,21.73,0.42,0.01,0.41
Deuel ,South Dakota,45.9,4.1,41.8,27.98,4.08,23.9,0.6,0.4,0.2
Dewey ,South Dakota,47.9,3.7,44.2,15.77,-1.14,16.91,-0.34,-0.51,0.17
Douglas ,South Dakota,49.8,3.2,46.6,24.6,2.17,22.43,0.64,0.43,0.21
Edmunds ,South Dakota,45.9,3.4,42.5,16.18,-2.72,18.9,-0.14,-0.5,0.36
Fall River ,South Dakota,50.5,4,46.5,11.78,-4.84,16.62,-1.07,-1.57,0.5
Faulk ,South Dakota,46.6,3.6,43,17.81,-1.06,18.87,0.44,0.12,0.32
Grant ,South Dakota,46.5,4.3,42.1,25.84,2.56,23.28,0.48,0.19,0.29
Gregory ,South Dakota,50.3,3.3,47.1,21.71,-0.08,21.79,0.28,0.12,0.16
Haakon ,South Dakota,49.4,3.5,45.9,15.3,-1.72,17.02,-0.43,-0.67,0.24
Hamlin ,South Dakota,46,4.1,41.9,27.71,4.99,22.72,0.77,0.53,0.25
Hand ,South Dakota,47.2,3.1,44.1,20.8,1.42,19.38,0.96,0.74,0.22
Hanson ,South Dakota,49.3,3.3,45.9,26.9,4.67,22.23,0.85,0.59,0.26
Harding ,South Dakota,47.2,4.4,42.7,11.54,-3.01,14.55,-1.34,-1.47,0.13
Hughes ,South Dakota,48.7,3.3,45.4,18.66,1.44,17.22,0.76,0.59,0.17
Hutchinson ,South Dakota,50.1,3.7,46.4,27.92,4.27,23.65,0.6,0.35,0.26
Hyde ,South Dakota,47,3.3,43.7,20.6,2.45,18.15,1.24,1.03,0.21
Jackson ,South Dakota,50.8,3.9,46.9,15.26,-2.09,17.35,-0.03,-0.34,0.31
Jerauld ,South Dakota,47.7,2.8,44.9,22.15,1.33,20.82,0.66,0.46,0.19
Jones ,South Dakota,50.3,3.6,46.6,17.59,0.19,17.4,0.33,0.09,0.23
Kingsbury ,South Dakota,46.9,3.7,43.2,27.17,4.85,22.32,0.91,0.66,0.26
Lake ,South Dakota,47.6,3.7,43.9,27.56,3.89,23.67,0.43,0.27,0.16
Lawrence ,South Dakota,45.6,3.3,42.3,21.52,-2.35,23.87,-0.45,-0.77,0.31
Lincoln ,South Dakota,49.7,4,45.7,33.97,8.24,25.73,0.66,0.49,0.17
Lyman ,South Dakota,49.7,3.3,46.5,19.94,1.58,18.36,0.98,0.75,0.23
McCook ,South Dakota,49.1,3.9,45.2,29.09,5.2,23.89,0.56,0.34,0.22
McPherson ,South Dakota,44.8,3.3,41.5,15.91,-2.81,18.72,-0.14,-0.48,0.34
Marshall ,South Dakota,44.7,3.5,41.2,22.87,1.76,21.11,0.72,0.31,0.41
Meade ,South Dakota,48.9,3.6,45.3,15.45,-1.41,16.86,-0.2,-0.56,0.36
Mellette ,South Dakota,50.9,3.7,47.2,16.92,-1.35,18.27,0.05,-0.15,0.2
Miner ,South Dakota,48.1,3.4,44.7,25.95,3.87,22.08,0.68,0.46,0.22
Minnehaha ,South Dakota,49.3,4.7,44.6,29.65,4.56,25.09,0.05,-0.08,0.13
Moody ,South Dakota,47.6,3.9,43.7,27.35,3.41,23.94,0.25,0.13,0.13
Oglala Lakota ,South Dakota,50.9,4.2,46.7,12.73,-4.46,17.19,-0.53,-1.02,0.49
Pennington ,South Dakota,48.8,3.9,44.9,15.19,-2.7,17.89,-0.37,-0.78,0.41
Perkins ,South Dakota,46.9,4,42.9,13.53,-2.25,15.78,-0.93,-1.17,0.24
Potter ,South Dakota,46.9,3.8,43,16.98,-0.7,17.68,0.13,-0.13,0.26
Roberts ,South Dakota,46.1,4.3,41.9,23.82,1.81,22.01,0.53,0.22,0.32
Sanborn ,South Dakota,48.3,2.8,45.5,23.48,2.38,21.1,0.71,0.51,0.2
Spink ,South Dakota,47.4,3.9,43.5,20.22,0.16,20.06,0.6,0.22,0.38
Stanley ,South Dakota,49.1,3.2,45.9,16.39,-0.23,16.62,-0.01,-0.22,0.21
Sully ,South Dakota,47.8,3.4,44.4,17.6,0.88,16.72,0.45,0.26,0.19
Todd ,South Dakota,50.2,3.6,46.6,17.37,-2.05,19.42,0.12,-0.14,0.26
Tripp ,South Dakota,50.4,3.4,47,19.32,-0.78,20.1,0.21,0.03,0.18
Turner ,South Dakota,50,4.1,45.9,32.05,6.87,25.18,0.59,0.36,0.23
Union ,South Dakota,50.7,3.8,47,28.86,2.79,26.07,0.39,0.14,0.25
Walworth ,South Dakota,46.8,4,42.8,15.92,-2.01,17.93,-0.29,-0.53,0.24
Yankton ,South Dakota,50.6,3.8,46.8,26.4,1.59,24.81,0.3,0,0.3
Ziebach ,South Dakota,48.1,3.6,44.5,15.3,-0.94,16.24,-0.31,-0.59,0.28
Anderson ,Tennessee,58.6,1.9,56.7,47.45,-4.7,52.15,-0.55,-0.63,0.08
Bedford ,Tennessee,61.2,2.8,58.4,46.32,-6.81,53.13,-1.06,-1.11,0.05
Benton ,Tennessee,61.5,3.1,58.4,50.12,-0.97,51.09,-0.42,-0.43,0.02
Bledsoe ,Tennessee,58.9,2.6,56.3,49.67,-6.36,56.03,-0.77,-0.83,0.05
Blount ,Tennessee,59.6,2.2,57.4,49.86,-3.98,53.84,-0.5,-0.55,0.05
Bradley ,Tennessee,61.4,2.4,58.9,44.74,-7.73,52.47,-0.98,-0.97,-0.01
Campbell ,Tennessee,56.9,1.8,55.1,49.81,-1.9,51.71,-0.24,-0.34,0.1
Cannon ,Tennessee,60.2,2.7,57.5,52.85,-1.24,54.09,-0.61,-0.65,0.04
Carroll ,Tennessee,61.5,3.1,58.5,49.98,-1.14,51.12,-0.39,-0.36,-0.04
Carter ,Tennessee,55.2,2.4,52.8,49.57,1.95,47.62,-0.21,-0.27,0.06
Cheatham ,Tennessee,61.8,3.8,57.9,45.9,-3.19,49.09,-0.75,-0.76,0.01
Chester ,Tennessee,62.1,3,59.1,54.03,2.19,51.84,-0.2,-0.16,-0.04
Claiborne ,Tennessee,57.5,2.1,55.4,49.78,-0.6,50.38,-0.13,-0.25,0.12
Clay ,Tennessee,59.9,2.8,57.2,52.29,-0.27,52.56,-0.38,-0.38,0
Cocke ,Tennessee,59,2.3,56.7,47.45,-0.42,47.87,-0.32,-0.4,0.08
Coffee ,Tennessee,60.3,2.9,57.4,50.54,-3.8,54.34,-0.73,-0.77,0.04
Crockett ,Tennessee,62.4,3.4,59,53.48,3.23,50.25,-0.11,-0.05,-0.06
Cumberland ,Tennessee,57.1,2.3,54.7,47.49,-7.59,55.08,-0.94,-0.97,0.02
Davidson ,Tennessee,61.9,3.6,58.4,47.35,-1.13,48.48,-0.49,-0.5,0.02
Decatur ,Tennessee,62.3,3.2,59.1,47.56,-4.96,52.52,-0.72,-0.75,0.03
DeKalb ,Tennessee,60.2,2.6,57.6,52.02,-1.22,53.24,-0.57,-0.59,0.02
Dickson ,Tennessee,61.3,3.9,57.4,48,-2.33,50.33,-0.65,-0.66,0.01
Dyer ,Tennessee,62.6,3.6,59,52.52,3.96,48.56,-0.06,-0.05,-0.02
Fayette ,Tennessee,63.1,3,60.1,57.38,5.13,52.25,0.09,0.11,-0.03
Fentress ,Tennessee,57.1,2.5,54.6,49.86,-3.24,53.1,-0.62,-0.66,0.04
Franklin ,Tennessee,60.6,2.7,58,51.97,-2.54,54.51,-0.6,-0.61,0.01
Gibson ,Tennessee,61.9,3.3,58.7,52.95,2.52,50.43,-0.17,-0.1,-0.06
Giles ,Tennessee,61.1,2.7,58.4,46.38,-7.73,54.11,-1.06,-1.07,0.01
Grainger ,Tennessee,58.9,2.3,56.6,46.18,-1.52,47.7,-0.35,-0.48,0.13
Greene ,Tennessee,58.8,2.1,56.7,45.99,1.84,44.15,0.04,-0.04,0.09
Grundy ,Tennessee,58.6,2.8,55.7,55.18,-1.64,56.82,-0.55,-0.56,0.02
Hamblen ,Tennessee,59.5,2.3,57.2,43.56,-1.8,45.36,-0.45,-0.56,0.1
Hamilton ,Tennessee,61.5,2.8,58.7,42.92,-11.72,54.64,-1.31,-1.27,-0.03
Hancock ,Tennessee,58.1,2.3,55.7,48.99,0.47,48.52,-0.14,-0.24,0.09
Hardeman ,Tennessee,62.5,3,59.5,59.26,6.55,52.71,0.16,0.19,-0.03
Hardin ,Tennessee,62.5,3,59.5,50.4,-2.06,52.46,-0.42,-0.44,0.02
Hawkins ,Tennessee,58.9,2.4,56.5,45.71,-0.25,45.96,-0.27,-0.34,0.07
Haywood ,Tennessee,62.6,3.3,59.4,54.95,4.15,50.8,0.02,0.07,-0.05
Henderson ,Tennessee,61.9,3.1,58.8,49.45,-2.33,51.78,-0.53,-0.5,-0.03
Henry ,Tennessee,61,2.8,58.2,55.44,5.12,50.32,0.15,0.14,0.01
Hickman ,Tennessee,61.3,3.4,57.9,47.13,-4.96,52.09,-0.81,-0.83,0.02
Houston ,Tennessee,61.1,3.3,57.8,52.9,2.44,50.46,-0.19,-0.17,-0.01
Humphreys ,Tennessee,61.3,3.4,58,50.76,-0.84,51.6,-0.43,-0.44,0.01
Jackson ,Tennessee,60.3,2.7,57.6,52.74,-0.62,53.36,-0.43,-0.44,0.01
Jefferson ,Tennessee,60,2.5,57.5,44.05,-1.82,45.87,-0.51,-0.61,0.1
Johnson ,Tennessee,53.6,2.3,51.3,57.28,8.26,49.02,0.49,0.45,0.03
Knox ,Tennessee,60,2.2,57.8,46.71,-2.59,49.3,-0.36,-0.44,0.08
Lake ,Tennessee,62.2,3.4,58.8,53.06,4.74,48.32,0.08,0.1,-0.02
Lauderdale ,Tennessee,62.8,3.1,59.7,52.23,2.84,49.39,-0.06,-0.04,-0.02
Lawrence ,Tennessee,61.3,3.2,58.1,45.94,-8.61,54.55,-1.02,-1.07,0.05
Lewis ,Tennessee,61,3.3,57.7,44.76,-8.65,53.41,-1.03,-1.1,0.07
Lincoln ,Tennessee,61.2,2.3,58.9,49.78,-4.67,54.45,-0.8,-0.82,0.02
Loudon ,Tennessee,60.5,2.2,58.3,45.83,-5.86,51.69,-0.77,-0.79,0.03
McMinn ,Tennessee,60.8,2.3,58.4,46.12,-6.64,52.76,-0.85,-0.86,0
McNairy ,Tennessee,62.3,2.8,59.5,53.64,1.26,52.38,-0.2,-0.2,0
Macon ,Tennessee,59.7,2.6,57.1,58.14,5.35,52.79,0.22,0.22,0
Madison ,Tennessee,62.2,3.2,59,55.42,4.03,51.39,-0.07,0,-0.06
Marion ,Tennessee,60.5,2.7,57.7,51.81,-4.92,56.73,-0.81,-0.78,-0.02
Marshall ,Tennessee,61,2.8,58.3,46.49,-6.33,52.82,-1.02,-1.05,0.02
Maury ,Tennessee,61.3,3.3,58,45.9,-5.72,51.62,-0.96,-0.96,0
Meigs ,Tennessee,60.8,2.5,58.3,46.2,-7.49,53.69,-0.88,-0.89,0.02
Monroe ,Tennessee,59.5,2.1,57.4,46.99,-8.74,55.73,-1.01,-1,-0.01
Montgomery ,Tennessee,61.3,3.6,57.7,50.37,1.39,48.98,-0.33,-0.34,0.01
Moore ,Tennessee,60.9,2.6,58.3,48.54,-5.97,54.51,-0.97,-1.01,0.04
Morgan ,Tennessee,57.5,2.2,55.3,46.65,-6.45,53.1,-0.86,-0.89,0.03
Obion ,Tennessee,61.6,3.2,58.4,58.66,9.07,49.59,0.34,0.39,-0.04
Overton ,Tennessee,59,2.8,56.1,49.62,-4.03,53.65,-0.72,-0.73,0.01
Perry ,Tennessee,61.9,3.4,58.5,46.96,-6.15,53.11,-0.82,-0.89,0.07
Pickett ,Tennessee,58.6,2.7,55.9,51.76,-0.69,52.45,-0.39,-0.44,0.05
Polk ,Tennessee,60,1.9,58,48.21,-6.48,54.69,-0.73,-0.71,-0.01
Putnam ,Tennessee,59.3,2.8,56.6,51.91,-2.67,54.58,-0.58,-0.6,0.02
Rhea ,Tennessee,59.8,2.5,57.4,47.54,-7.83,55.37,-0.86,-0.89,0.03
Roane ,Tennessee,60.1,2.3,57.8,44.85,-7.55,52.4,-0.91,-0.94,0.04
Robertson ,Tennessee,60.5,3,57.5,53.27,4.22,49.05,0.05,0.06,-0.01
Rutherford ,Tennessee,61.5,3.1,58.4,50.81,-0.26,51.07,-0.45,-0.49,0.05
Scott ,Tennessee,56.7,2.2,54.5,51.11,-1.58,52.69,-0.38,-0.44,0.06
Sequatchie ,Tennessee,59.3,2.8,56.5,49.94,-7.31,57.25,-0.92,-0.93,0.02
Sevier ,Tennessee,57.6,1.9,55.7,50.58,-3.95,54.53,-0.42,-0.51,0.1
Shelby ,Tennessee,63.8,2.8,61.1,54.43,3.63,50.8,-0.02,0,-0.01
Smith ,Tennessee,60.5,2.5,58.1,54.42,1.53,52.89,-0.21,-0.22,0.01
Stewart ,Tennessee,60.9,3,57.9,54.6,4.69,49.91,0.05,0.07,-0.02
Sullivan ,Tennessee,58.1,2.7,55.4,44.61,0.67,43.94,-0.25,-0.34,0.09
Sumner ,Tennessee,60.4,2.8,57.7,56.38,6.18,50.2,0.23,0.22,0.01
Tipton ,Tennessee,63,2.7,60.3,53.08,2.87,50.21,0.04,0.05,-0.01
Trousdale ,Tennessee,60.6,2.6,58,57.54,5.64,51.9,0.19,0.19,0.01
Unicoi ,Tennessee,55.1,2.2,53,48.47,-0.35,48.82,-0.35,-0.4,0.05
Union ,Tennessee,58.3,1.9,56.4,47.07,-2.43,49.5,-0.3,-0.44,0.13
Van Buren ,Tennessee,58.6,2.6,56,51.89,-2.71,54.6,-0.52,-0.58,0.05
Warren ,Tennessee,59.9,2.7,57.2,52.33,-1.41,53.74,-0.53,-0.56,0.03
Washington ,Tennessee,58.4,2.4,56.1,44.26,0.07,44.19,-0.32,-0.41,0.09
Wayne ,Tennessee,61.9,3.5,58.4,49.52,-4.72,54.24,-0.66,-0.7,0.05
Weakley ,Tennessee,61.6,3.2,58.4,56.39,5.86,50.53,0.08,0.12,-0.04
White ,Tennessee,59.2,2.6,56.7,50.98,-3.3,54.28,-0.64,-0.66,0.02
Williamson ,Tennessee,61.5,3.5,57.9,47.2,-2.89,50.09,-0.7,-0.7,0.01
Wilson ,Tennessee,60.9,2.7,58.2,52.98,1.4,51.58,-0.21,-0.24,0.03
Anderson ,Texas,67.9,2.4,65.4,56.87,15.34,41.53,1.28,1.28,0
Andrews ,Texas,65.9,3.9,61.9,9.2,-5.52,14.72,-1.46,-1.49,0.03
Angelina ,Texas,68.9,2.8,66.1,69.4,20.75,48.65,1.33,1.3,0.03
Aransas ,Texas,74.7,4.4,70.3,25.69,-8.14,33.83,-1.4,-1.39,-0.01
Archer ,Texas,67.3,3.8,63.5,32.41,4.66,27.75,0.3,0.33,-0.03
Armstrong ,Texas,62.6,4.6,57.9,19.81,-1.16,20.97,-0.55,-0.67,0.12
Atascosa ,Texas,72.9,3.1,69.8,21.63,-5.05,26.68,-0.93,-0.88,-0.04
Austin ,Texas,72.6,4.6,68,44.04,2.93,41.11,-0.13,-0.1,-0.03
Bailey ,Texas,60.6,3.6,57.1,18.74,1.2,17.54,-0.28,-0.39,0.11
Bandera ,Texas,69.8,3.6,66.1,21.54,-8.35,29.89,-1.38,-1.38,0
Bastrop ,Texas,71.8,4.4,67.4,32.05,-3.02,35.07,-0.49,-0.45,-0.04
Baylor ,Texas,67.4,4.1,63.4,28.29,2.67,25.62,0.21,0.23,-0.02
Bee ,Texas,73.6,3.2,70.3,22.22,-8.01,30.23,-1.22,-1.22,0
Bell ,Texas,69.8,4.1,65.7,31.55,-1.46,33.01,-0.48,-0.47,-0.02
Bexar ,Texas,72.2,3.7,68.5,20.37,-9.34,29.71,-1.4,-1.34,-0.05
Blanco ,Texas,69.8,3.7,66.1,27.58,-3.5,31.08,-0.86,-0.8,-0.06
Borden ,Texas,66.2,3.3,62.9,18.51,-0.41,18.92,-0.47,-0.56,0.09
Bosque ,Texas,68.7,3.3,65.4,40.2,7.95,32.25,0.19,0.23,-0.03
Bowie ,Texas,66.7,3.6,63.1,57.03,9.46,47.57,0.36,0.36,0
Brazoria ,Texas,72.6,3.7,68.9,56.05,10.41,45.64,0.34,0.34,0
Brazos ,Texas,70.8,3.7,67,43.86,4.26,39.6,-0.05,-0.04,-0.02
Brewster ,Texas,68.7,4.1,64.6,6.27,-6.91,13.18,-2,-1.96,-0.04
Briscoe ,Texas,63.3,4,59.3,21.93,0.94,20.99,0,-0.18,0.18
Brooks ,Texas,76.2,4,72.2,21.56,-2.18,23.74,-0.77,-0.73,-0.04
Brown ,Texas,68.3,3.9,64.4,32.62,5.79,26.83,0.13,0.13,0
Burleson ,Texas,71.2,4.2,67,39.44,1.81,37.63,-0.08,-0.06,-0.02
Burnet ,Texas,69.6,3.5,66,27.13,-3.14,30.27,-0.68,-0.65,-0.03
Caldwell ,Texas,72.5,4.7,67.8,27.14,-6.28,33.42,-0.99,-0.98,-0.01
Calhoun ,Texas,73.8,4.1,69.7,35.55,-2.46,38.01,-0.71,-0.65,-0.06
Callahan ,Texas,67.1,3.4,63.7,32.99,7.06,25.93,0.36,0.37,-0.01
Cameron ,Texas,77,3.4,73.7,32.52,7.74,24.78,0.2,0.25,-0.05
Camp ,Texas,67.1,3.2,63.9,56.71,12.39,44.32,0.68,0.75,-0.07
Carson ,Texas,61.8,5,56.8,20.25,-0.44,20.69,-0.54,-0.66,0.12
Cass ,Texas,66.8,2.8,64,56.22,8.99,47.23,0.46,0.45,0
Castro ,Texas,60.7,4.1,56.7,16.67,-2.08,18.75,-0.66,-0.85,0.2
Chambers ,Texas,71.7,3.4,68.2,60.18,10.18,50,0.24,0.25,-0.01
Cherokee ,Texas,67.8,2.4,65.4,61.77,17.29,44.48,1.3,1.29,0.01
Childress ,Texas,65.2,3.9,61.3,18.87,-3.77,22.64,-0.39,-0.57,0.18
Clay ,Texas,66.9,3.5,63.4,36.11,5.99,30.12,0.41,0.46,-0.05
Cochran ,Texas,61.6,3.6,58,15,-2.6,17.6,-0.78,-0.84,0.07
Coke ,Texas,68.1,4.2,63.9,22.66,0.59,22.07,-0.45,-0.44,0
Coleman ,Texas,68,3.8,64.1,32.55,6.58,25.97,0.13,0.14,-0.01
Collin ,Texas,68,4.2,63.8,44.49,6.47,38.02,-0.01,0.01,-0.02
Collingsworth ,Texas,63.6,3.8,59.8,20.1,-3.14,23.24,-0.35,-0.56,0.21
Colorado ,Texas,73.2,4.9,68.2,37.07,-3.41,40.48,-0.77,-0.74,-0.03
Comal ,Texas,71.2,3.9,67.3,24.13,-8.39,32.52,-1.31,-1.23,-0.08
Comanche ,Texas,68.3,4,64.3,34.63,6.27,28.36,0.29,0.32,-0.03
Concho ,Texas,68.3,4.1,64.2,23,-1.1,24.1,-0.84,-0.84,0
Cooke ,Texas,66.8,3.4,63.4,38.03,2.38,35.65,-0.08,-0.07,0
Coryell ,Texas,69,3.6,65.4,31.94,0.32,31.62,-0.46,-0.43,-0.02
Cottle ,Texas,65.7,3.5,62.2,22.63,0.14,22.49,0.22,0.11,0.12
Crane ,Texas,68.8,4,64.8,7.89,-5.33,13.22,-1.45,-1.46,0.01
Crockett ,Texas,69.1,4.3,64.8,11.89,-6.31,18.2,-1.47,-1.47,0
Crosby ,Texas,64.2,3.9,60.2,18.49,-1.94,20.43,-0.41,-0.48,0.07
Culberson ,Texas,65.2,4.1,61.1,5.55,-6.42,11.97,-1.8,-1.82,0.02
Dallam ,Texas,57.1,2.6,54.5,15.34,-1.3,16.64,-0.4,-0.56,0.16
Dallas ,Texas,68.7,3.4,65.3,47.45,11.04,36.41,0.47,0.49,-0.03
Dawson ,Texas,65,3.2,61.9,15.22,-2.27,17.49,-0.6,-0.68,0.09
Deaf Smith ,Texas,60,4.3,55.7,16.93,-1.49,18.42,-0.71,-0.86,0.15
Delta ,Texas,66.7,3.3,63.4,52.78,9.89,42.89,0.34,0.4,-0.07
Denton ,Texas,68.1,3.6,64.5,40.15,5.17,34.98,0.03,0.02,0.01
DeWitt ,Texas,73.6,4.5,69.1,26.56,-8.07,34.63,-1.04,-1.06,0.02
Dickens ,Texas,65.5,3.7,61.8,22.1,0.42,21.68,0.26,0.18,0.08
Dimmit ,Texas,74.6,3.9,70.7,15.13,-6.16,21.29,-1.38,-1.28,-0.1
Donley ,Texas,63,4.2,58.8,18.91,-3.09,22,-0.45,-0.65,0.2
Duval ,Texas,75,3.8,71.2,21.52,-2.22,23.74,-0.84,-0.81,-0.03
Eastland ,Texas,67.3,3.6,63.7,34.77,7.06,27.71,0.6,0.61,-0.02
Ector ,Texas,67.2,4.2,63,8.26,-5.61,13.87,-1.54,-1.52,-0.02
Edwards ,Texas,69.9,4.8,65.1,15.66,-7.97,23.63,-1.66,-1.68,0.02
Ellis ,Texas,68.7,2.9,65.8,47.18,10.79,36.39,0.44,0.48,-0.04
El Paso ,Texas,66.4,4.2,62.2,4.82,-3.99,8.81,-1.56,-1.58,0.02
Erath ,Texas,68.4,4.2,64.2,35.64,5.83,29.81,0.09,0.13,-0.05
Falls ,Texas,69.4,3.5,65.8,39.67,4.66,35.02,-0.09,-0.07,-0.02
Fannin ,Texas,67.1,4,63,49.32,8.25,41.07,0.12,0.14,-0.02
Fayette ,Texas,72.8,4.9,67.9,35.73,-1.74,37.47,-0.43,-0.39,-0.04
Fisher ,Texas,67.2,4,63.2,23.76,1.73,22.03,-0.38,-0.38,0
Floyd ,Texas,62.5,3.6,58.9,20.89,0.09,20.8,-0.13,-0.28,0.15
Foard ,Texas,66.5,3.7,62.7,25.07,0.78,24.29,0.29,0.22,0.08
Fort Bend ,Texas,72.9,4.3,68.6,48.73,4.37,44.36,-0.04,-0.06,0.02
Franklin ,Texas,66.8,3.2,63.6,58.96,15.18,43.78,0.85,0.92,-0.08
Freestone ,Texas,68.9,3.1,65.8,48.13,9.14,38.99,0.5,0.52,-0.02
Frio ,Texas,73.3,3.6,69.7,16.95,-7.32,24.27,-1.35,-1.29,-0.06
Gaines ,Texas,64.6,3.7,60.9,10.11,-5.93,16.04,-1.18,-1.26,0.08
Galveston ,Texas,72.6,3.6,68.9,59.13,11.64,47.49,0.34,0.33,0.01
Garza ,Texas,66.2,3.9,62.2,19.29,-0.3,19.59,-0.38,-0.45,0.07
Gillespie ,Texas,68.3,3.5,64.9,26.57,-2.53,29.1,-0.7,-0.67,-0.03
Glasscock ,Texas,67.3,4.2,63.2,14.2,-3.61,17.81,-1.17,-1.21,0.04
Goliad ,Texas,73.6,3.8,69.8,24.72,-8.57,33.29,-1.19,-1.17,-0.02
Gonzales ,Texas,73.4,4.8,68.7,24.75,-9.04,33.79,-1.25,-1.25,0.01
Gray ,Texas,62.4,5,57.3,24.04,1.9,22.14,-0.16,-0.34,0.18
Grayson ,Texas,67,3.7,63.4,42.15,3.88,38.27,-0.08,-0.08,0
Gregg ,Texas,67.3,2.3,65.1,59.95,14.9,45.05,0.91,0.97,-0.06
Grimes ,Texas,70.6,3.5,67.1,51.92,9.99,41.93,0.4,0.43,-0.03
Guadalupe ,Texas,72.6,4.3,68.3,23.39,-8.45,31.84,-1.29,-1.24,-0.05
Hale ,Texas,61.8,3.6,58.2,18.58,-0.93,19.51,-0.44,-0.59,0.15
Hall ,Texas,64.7,3.9,60.9,20.12,-1.14,21.26,-0.05,-0.26,0.22
Hamilton ,Texas,68.6,3.8,64.7,32.31,2.33,29.98,-0.27,-0.24,-0.03
Hansford ,Texas,60.8,4,56.8,20.83,1.8,19.03,-0.08,-0.19,0.11
Hardeman ,Texas,65.9,3.8,62.1,21.5,-3.02,24.52,-0.4,-0.5,0.1
Hardin ,Texas,70,3,67,72.88,20.24,52.64,1.02,1.07,-0.04
Harris ,Texas,72.5,4,68.4,54.39,7.69,46.7,0.11,0.11,0.01
